valid_loss,train_loss
0.07151641696691513,0.11340921372175217
0.07085061818361282,0.06746453046798706
0.07312680035829544,0.06298130750656128
0.06451635807752609,0.06367797404527664
0.06205355376005173,0.06212123855948448
0.06211187690496445,0.05935671180486679
0.06194329261779785,0.05902355536818504
0.06510021537542343,0.05720771104097366
0.061640869826078415,0.05805552005767822
0.06101713702082634,0.058419980108737946
0.06111700087785721,0.0565498024225235
0.05911647155880928,0.056113630533218384
0.06184316426515579,0.05686268210411072
0.06077822670340538,0.055797066539525986
0.05800604820251465,0.0550263337790966
0.05846831202507019,0.05599247291684151
0.057707060128450394,0.057364288717508316
0.05914165824651718,0.05406392738223076
0.06066885218024254,0.05428248271346092
0.058808788657188416,0.05492345243692398
0.05731095373630524,0.05458296835422516
0.059970058500766754,0.05445985123515129
0.05796825885772705,0.053936704993247986
0.05823327228426933,0.05249036103487015
0.06474912166595459,0.05229082331061363
0.05749033764004707,0.05481443554162979
0.056762926280498505,0.05207548663020134
0.05827257037162781,0.05363854765892029
0.05767938494682312,0.0509708896279335
0.05628306418657303,0.05188610032200813
0.055134642869234085,0.05159517377614975
0.05525566264986992,0.051189642399549484
0.05650448799133301,0.05124300345778465
0.0648360401391983,0.05301239341497421
0.054423678666353226,0.05124105140566826
0.05659430846571922,0.051546528935432434
0.058177560567855835,0.05151621252298355
0.05617570877075195,0.05108346790075302
0.05417497828602791,0.04979703947901726
0.053339920938014984,0.05014101415872574
0.053957462310791016,0.050369009375572205
0.054099760949611664,0.04975319653749466
0.05746597796678543,0.04995063692331314
0.055986274033784866,0.04901403933763504
0.05423489585518837,0.05014556646347046
0.05548352375626564,0.04975522682070732
0.056698527187108994,0.04981774091720581
0.05444513261318207,0.04928012192249298
0.0553983636200428,0.048599112778902054
0.05598337948322296,0.048688288778066635
